Title,Address,State,Zipcode,PhoneNumber,Description
Gila Health Resources,"401 Burro Alley, Morenci, AZ 85540",AZ,85540,(928) 865-9184,"Priorities for testing at this point in time are limited to: 1) Hospitalized patients who have signs and symptoms compatible with COVID-19, in order to help make decisions related to infection control. 2) Other symptomatic individuals, such as older adults and individuals with chronic medical conditions that may put them at higher risk for poor outcomes (diabetes, heart disease, those receiving immunosuppressive medications, chronic lung disease, chronic kidney disease). 3) Any persons, including healthcare personnel, who within 14 days of symptom onset had close contact with a suspect or laboratory-confirmed COVID-19 patient, or who have a history of travel from affected geographic areas (China, South Korea, Italy, Iran) within 14 days of their symptom onset. Reach out to your healthcare provider or call the 24-hour Urgent Care at (928) 865-7589 or (928) 865-9184."
"HonorHealth Medical Group Urgent Care, Bethany Home","1515 E Bethany Home Rd Ste 120B, Phoenix, AZ 85014",AZ,85014,(602) 674-6260,"If you have the following symptoms, please call the nurse line at (480) 587-6200, or use the COVID-19 screening tool and chat with an expert for recommendations on the HonorHealth website. Call ahead before going to any HonorHealth location. Please do not go to the emergency department for testing unless you are experiencing a life-threatening emergency."
"HonorHealth Medical Group Urgent Care, Del Lago","10230 W Happy Valley Pkwy Ste 100C, Peoria, AZ 85383",AZ,85383,(623) 561-3040,"If you have the following symptoms, please call the nurse line at (480) 587-6200, or use the COVID-19 screening tool and chat with an expert for recommendations on the HonorHealth website. Call ahead before going to any HonorHealth location. Please do not go to the emergency department for testing unless you are experiencing a life-threatening emergency."
"HonorHealth Medical Group Urgent Care, Gavilan Peak","3648 W Anthem Way Ste 100C Bldg A, Phoenix, AZ 85086",AZ,85086,(623) 434-6440,"If you have the following symptoms, please call the nurse line at (480) 587-6200, or use the COVID-19 screening tool and chat with an expert for recommendations on the HonorHealth website. Call ahead before going to any HonorHealth location. Please do not go to the emergency department for testing unless you are experiencing a life-threatening emergency."
"HonorHealth Medical Group Urgent Care, McKellips","1124 E McKellips Rd Ste 102, Mesa, AZ 85203",AZ,85203,(480) 587-5520,"If you have the following symptoms, please call the nurse line at (480) 587-6200, or use the COVID-19 screening tool and chat with an expert for recommendations on the HonorHealth website. Call ahead before going to any HonorHealth location. Please do not go to the emergency department for testing unless you are experiencing a life-threatening emergency."
"HonorHealth Medical Group Urgent Care, Saguaro","18404 N Tatum Blvd Ste 101C, Phoenix, AZ 85032",AZ,85032,(602) 485-7475,"If you have the following symptoms, please call the nurse line at (480) 587-6200, or use the COVID-19 screening tool and chat with an expert for recommendations on the HonorHealth website. Call ahead before going to any HonorHealth location. Please do not go to the emergency department for testing unless you are experiencing a life-threatening emergency."
"HonorHealth Medical Group Urgent Care, Thompson Peak","20745 N Scottsdale Rd Ste 105, Scottsdale, AZ 85255",AZ,85255,(480) 587-6000,"If you have the following symptoms, please call the nurse line at (480) 587-6200, or use the COVID-19 screening tool and chat with an expert for recommendations on the HonorHealth website. Call ahead before going to any HonorHealth location. Please do not go to the emergency department for testing unless you are experiencing a life-threatening emergency."
"HonorHealth Medical Group Urgent Care, West Bell Road","6220 W Bell Rd Ste 100C, Glendale, AZ 85308",AZ,85308,(602) 547-7335,"If you have the following symptoms, please call the nurse line at (480) 587-6200, or use the COVID-19 screening tool and chat with an expert for recommendations on the HonorHealth website. Call ahead before going to any HonorHealth location. Please do not go to the emergency department for testing unless you are experiencing a life-threatening emergency."
La Paz Regional Hospital,"1200 West Mohave Road, Parker, AZ 85344",AZ,85344,(928) 669-9201,"If you are having COVID-19 symptoms, please reach out to your healthcare provider and/or fill out the following form: https://secure.fastcommand.com/dp_lprh_az/forms/?formID=22598"
Little Colorado Medical Center,"1501 N. Williamson Avenue, Winslow, AZ 86047",AZ,86047,(928) 289-4691,"LCMC provides testing and care for patients with respiratory symptoms at the Physicians’ Office and Emergency Department. Due to the national shortage of testing materials, the CDC is limiting testing to individuals with significant symptoms. If you feel that you are ill, and your symptoms are mild, you and your family should shelter in place. If you are experiencing shortness of breath, fever and cough, please call our respiratory clinic at (928) 289-3396 for an appointment. If you have increasing shortness of breath or chest pain, DO NOT wait to be seen – come to the Emergency Department immediately."
"Luke Air Force Base, 56th Medical Group","7219 N Litchfield Rd, Glendale, AZ 85309",AZ,85309,(623) 856-2273,"Call Central Appointments at (623) 856-2273. If after duty hours, you may contact the Nurse Advice Line at (800) 874-2273. The 56th Medical Group will book a same-day virtual appointment to be triaged. Patients will not be tested for COVID-19 until they have been triaged by our healthcare professionals."
Maready Medical,"4135 S Power Rd #113, Mesa, AZ 85212",AZ,85212,(480) 626-2444,"Maready Medical offers to test new and existing patients who are symptomatic for COVID-19. Book a virtual visits (Telehealth) first. If you meet the criteria for a COVID-19 test, you can drive up to the office and Maready Medical will come to you to perform the test. To schedule an appointment, call the office or book a Telehealth appointment online by clicking here: https://www.app.elationemr.com/book/mareadymedical%20Book%20An%20Appointment%20Today."
Mayo Clinic Hospital,"5777 E Mayo Blvd, Phoenix, AZ 85054",AZ,85054,(480) 342-2000,Call the facility ahead of time. Most testing sites require a referral from a provider.
Mercy Gilbert Medical Center,"3555 S Val Vista Dr, Gilbert, AZ 85297",AZ,85297,(480) 728-8000,Call the facility ahead of time. Most testing sites require a referral from a provider.
Mt. Graham Regional Medical Center,"1600 S. 20th Avenue., Safford, AZ 85546",AZ,85546,(928) 348-4000,N/A
"NextCare Urgent Care, Apache Junction","2080 W Southern Ave, Apache Junction, AZ 85120",AZ,85120,(480) 985-0172,"NextCare is offering a Curbside Care program, which allows you to drive up, stay in your vehicle and let us come to you. We recommend all patients book a time online at https://nextcare.com/curbside. To access curbside care, please contact the clinic prior to visiting. Testing is dependent on availabilty of supplies which may vary daily depending on demand."
"NextCare Urgent Care, Avondale","13075 W McDowell Rd., Avondale, AZ 85392",AZ,85392,(623) 547-0522,"NextCare is offering a Curbside Care program, which allows you to drive up, stay in your vehicle and let us come to you. We recommend all patients book a time online at https://nextcare.com/curbside. To access curbside care, please contact the clinic prior to visiting. Testing is dependent on availabilty of supplies which may vary daily depending on demand."
"NextCare Urgent Care, Casa Grande","1683 E Florence Blvd, Casa Grande, AZ 85122",AZ,85122,(520) 876-0800,"NextCare is offering a Curbside Care program, which allows you to drive up, stay in your vehicle and let us come to you. We recommend all patients book a time online at https://nextcare.com/curbside. To access curbside care, please contact the clinic prior to visiting. Testing is dependent on availabilty of supplies which may vary daily depending on demand."
